1-Wire/iButton Part Number: DS2422
1-Wire/iButton Registration Number: 4600000081838741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Nov 08 09:53:01 EST 2024
Mission Sample Count:  4767
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Nov 08 09:53:01 EST 2024
Total Mission Samples:  4767
Total Device Samples:  4810
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/10/24 4:33:01 AM,C,19
12/10/24 4:43:01 AM,C,19
12/10/24 4:53:01 AM,C,19
12/10/24 5:03:01 AM,C,19
12/10/24 5:13:01 AM,C,19
12/10/24 5:23:01 AM,C,19
12/10/24 5:33:01 AM,C,19
12/10/24 5:43:01 AM,C,19
12/10/24 5:53:01 AM,C,19.5
12/10/24 6:03:01 AM,C,19.5
12/10/24 6:13:01 AM,C,20
12/10/24 6:23:01 AM,C,20
12/10/24 6:33:01 AM,C,20
12/10/24 6:43:01 AM,C,20
12/10/24 6:53:01 AM,C,20
12/10/24 7:03:01 AM,C,20
12/10/24 7:13:01 AM,C,20
12/10/24 7:23:01 AM,C,20
12/10/24 7:33:01 AM,C,20
12/10/24 7:43:01 AM,C,20
12/10/24 7:53:01 AM,C,20
12/10/24 8:03:01 AM,C,20
12/10/24 8:13:01 AM,C,20
12/10/24 8:23:01 AM,C,20
12/10/24 8:33:01 AM,C,20
12/10/24 8:43:01 AM,C,20
12/10/24 8:53:01 AM,C,20
12/10/24 9:03:01 AM,C,20
12/10/24 9:13:01 AM,C,20
12/10/24 9:23:01 AM,C,20
12/10/24 9:33:01 AM,C,20
12/10/24 9:43:01 AM,C,20
12/10/24 9:53:01 AM,C,20
12/10/24 10:03:01 AM,C,20
12/10/24 10:13:01 AM,C,20
12/10/24 10:23:01 AM,C,20
12/10/24 10:33:01 AM,C,20
12/10/24 10:43:01 AM,C,20
12/10/24 10:53:01 AM,C,20
12/10/24 11:03:01 AM,C,20
12/10/24 11:13:01 AM,C,20
12/10/24 11:23:01 AM,C,20
12/10/24 11:33:01 AM,C,20
12/10/24 11:43:01 AM,C,20
12/10/24 11:53:01 AM,C,20
12/10/24 12:03:01 PM,C,20
12/10/24 12:13:01 PM,C,20
12/10/24 12:23:01 PM,C,20
12/10/24 12:33:01 PM,C,20
12/10/24 12:43:01 PM,C,20
12/10/24 12:53:01 PM,C,20
12/10/24 1:03:01 PM,C,20
12/10/24 1:13:01 PM,C,20
12/10/24 1:23:01 PM,C,20
12/10/24 1:33:01 PM,C,20
12/10/24 1:43:01 PM,C,20
12/10/24 1:53:01 PM,C,20
12/10/24 2:03:01 PM,C,20
12/10/24 2:13:01 PM,C,20
12/10/24 2:23:01 PM,C,20
12/10/24 2:33:01 PM,C,20
12/10/24 2:43:01 PM,C,20
12/10/24 2:53:01 PM,C,20
12/10/24 3:03:01 PM,C,20
12/10/24 3:13:01 PM,C,20
12/10/24 3:23:01 PM,C,20
12/10/24 3:33:01 PM,C,20
12/10/24 3:43:01 PM,C,20
12/10/24 3:53:01 PM,C,20
12/10/24 4:03:01 PM,C,20
12/10/24 4:13:01 PM,C,20
12/10/24 4:23:01 PM,C,20
12/10/24 4:33:01 PM,C,20
12/10/24 4:43:01 PM,C,20
12/10/24 4:53:01 PM,C,20
12/10/24 5:03:01 PM,C,20
12/10/24 5:13:01 PM,C,20
12/10/24 5:23:01 PM,C,20
12/10/24 5:33:01 PM,C,20
12/10/24 5:43:01 PM,C,20
12/10/24 5:53:01 PM,C,20
12/10/24 6:03:01 PM,C,20
12/10/24 6:13:01 PM,C,20
12/10/24 6:23:01 PM,C,20
12/10/24 6:33:01 PM,C,20
12/10/24 6:43:01 PM,C,20
12/10/24 6:53:01 PM,C,20
12/10/24 7:03:01 PM,C,20
12/10/24 7:13:01 PM,C,20
12/10/24 7:23:01 PM,C,20
12/10/24 7:33:01 PM,C,20
12/10/24 7:43:01 PM,C,20
12/10/24 7:53:01 PM,C,20
12/10/24 8:03:01 PM,C,20
12/10/24 8:13:01 PM,C,20
12/10/24 8:23:01 PM,C,20
12/10/24 8:33:01 PM,C,20
12/10/24 8:43:01 PM,C,20
12/10/24 8:53:01 PM,C,20
12/10/24 9:03:01 PM,C,20
12/10/24 9:13:01 PM,C,20
12/10/24 9:23:01 PM,C,20
12/10/24 9:33:01 PM,C,20
12/10/24 9:43:01 PM,C,20
12/10/24 9:53:01 PM,C,20
12/10/24 10:03:01 PM,C,20
12/10/24 10:13:01 PM,C,20
12/10/24 10:23:01 PM,C,20
12/10/24 10:33:01 PM,C,19.5
12/10/24 10:43:01 PM,C,19.5
12/10/24 10:53:01 PM,C,19.5
12/10/24 11:03:01 PM,C,19.5
12/10/24 11:13:01 PM,C,19.5
12/10/24 11:23:01 PM,C,19.5
12/10/24 11:33:01 PM,C,19.5
12/10/24 11:43:01 PM,C,19.5
12/10/24 11:53:01 PM,C,19.5
12/11/24 12:03:01 AM,C,19.5
12/11/24 12:13:01 AM,C,19.5
12/11/24 12:23:01 AM,C,19.5
12/11/24 12:33:01 AM,C,19.5
12/11/24 12:43:01 AM,C,19.5
12/11/24 12:53:01 AM,C,19.5
12/11/24 1:03:01 AM,C,19.5
12/11/24 1:13:01 AM,C,19.5
12/11/24 1:23:01 AM,C,19.5
12/11/24 1:33:01 AM,C,19.5
12/11/24 1:43:01 AM,C,19.5
12/11/24 1:53:01 AM,C,19.5
12/11/24 2:03:01 AM,C,19.5
12/11/24 2:13:01 AM,C,19.5
12/11/24 2:23:01 AM,C,19
12/11/24 2:33:01 AM,C,19
12/11/24 2:43:01 AM,C,19
12/11/24 2:53:01 AM,C,19
12/11/24 3:03:01 AM,C,19
12/11/24 3:13:01 AM,C,19
12/11/24 3:23:01 AM,C,19
12/11/24 3:33:01 AM,C,19
12/11/24 3:43:01 AM,C,19
12/11/24 3:53:01 AM,C,19
12/11/24 4:03:01 AM,C,19.5
12/11/24 4:13:01 AM,C,19.5
12/11/24 4:23:01 AM,C,19.5
12/11/24 4:33:01 AM,C,19.5
12/11/24 4:43:01 AM,C,19.5
12/11/24 4:53:01 AM,C,19.5
12/11/24 5:03:01 AM,C,19.5
12/11/24 5:13:01 AM,C,19.5
12/11/24 5:23:01 AM,C,19.5
12/11/24 5:33:01 AM,C,19.5
12/11/24 5:43:01 AM,C,19.5
12/11/24 5:53:01 AM,C,19.5
12/11/24 6:03:01 AM,C,19.5
12/11/24 6:13:01 AM,C,19.5
12/11/24 6:23:01 AM,C,20
12/11/24 6:33:01 AM,C,20
12/11/24 6:43:01 AM,C,20
12/11/24 6:53:01 AM,C,20
12/11/24 7:03:01 AM,C,20
12/11/24 7:13:01 AM,C,20
12/11/24 7:23:01 AM,C,20
12/11/24 7:33:01 AM,C,20
12/11/24 7:43:01 AM,C,20
12/11/24 7:53:01 AM,C,20
12/11/24 8:03:01 AM,C,20
12/11/24 8:13:01 AM,C,20
12/11/24 8:23:01 AM,C,20
12/11/24 8:33:01 AM,C,20
12/11/24 8:43:01 AM,C,20
12/11/24 8:53:01 AM,C,20
12/11/24 9:03:01 AM,C,20
12/11/24 9:13:01 AM,C,20
12/11/24 9:23:01 AM,C,20
12/11/24 9:33:01 AM,C,20
12/11/24 9:43:01 AM,C,20
12/11/24 9:53:01 AM,C,20
12/11/24 10:03:01 AM,C,20
12/11/24 10:13:01 AM,C,20
12/11/24 10:23:01 AM,C,20
12/11/24 10:33:01 AM,C,20
12/11/24 10:43:01 AM,C,20
12/11/24 10:53:01 AM,C,20
12/11/24 11:03:01 AM,C,20
12/11/24 11:13:01 AM,C,20
12/11/24 11:23:01 AM,C,20
12/11/24 11:33:01 AM,C,20
12/11/24 11:43:01 AM,C,20
12/11/24 11:53:01 AM,C,20
12/11/24 12:03:01 PM,C,20
12/11/24 12:13:01 PM,C,21.5
