1-Wire/iButton Part Number: DS2422
1-Wire/iButton Registration Number: FF00000081816941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Nov 08 10:01:01 EST 2024
Mission Sample Count:  3635
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Nov 08 10:01:01 EST 2024
Total Mission Samples:  3635
Total Device Samples:  3720
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/13/24 4:51:01 AM,C,19
11/13/24 5:01:01 AM,C,19
11/13/24 5:11:01 AM,C,19
11/13/24 5:21:01 AM,C,19
11/13/24 5:31:01 AM,C,19
11/13/24 5:41:01 AM,C,19
11/13/24 5:51:01 AM,C,19
11/13/24 6:01:01 AM,C,19
11/13/24 6:11:01 AM,C,19
11/13/24 6:21:01 AM,C,19
11/13/24 6:31:01 AM,C,19.5
11/13/24 6:41:01 AM,C,19.5
11/13/24 6:51:01 AM,C,19.5
11/13/24 7:01:01 AM,C,19.5
11/13/24 7:11:01 AM,C,19.5
11/13/24 7:21:01 AM,C,19.5
11/13/24 7:31:01 AM,C,19.5
11/13/24 7:41:01 AM,C,19.5
11/13/24 7:51:01 AM,C,19.5
11/13/24 8:01:01 AM,C,19.5
11/13/24 8:11:01 AM,C,19.5
11/13/24 8:21:01 AM,C,38
11/13/24 8:31:01 AM,C,60.5
11/13/24 8:41:01 AM,C,61
11/13/24 8:51:01 AM,C,64.5
11/13/24 9:01:01 AM,C,64.5
11/13/24 9:11:01 AM,C,61.5
11/13/24 9:21:01 AM,C,65
11/13/24 9:31:01 AM,C,67.5
11/13/24 9:41:01 AM,C,63
11/13/24 9:51:01 AM,C,60.5
11/13/24 10:01:01 AM,C,64.5
11/13/24 10:11:01 AM,C,64.5
11/13/24 10:21:01 AM,C,61.5
11/13/24 10:31:01 AM,C,59
11/13/24 10:41:01 AM,C,60.5
11/13/24 10:51:01 AM,C,63
11/13/24 11:01:01 AM,C,62
11/13/24 11:11:01 AM,C,64.5
11/13/24 11:21:01 AM,C,63
11/13/24 11:31:01 AM,C,64
11/13/24 11:41:01 AM,C,64
11/13/24 11:51:01 AM,C,66
11/13/24 12:01:01 PM,C,62
11/13/24 12:11:01 PM,C,60
11/13/24 12:21:01 PM,C,60
11/13/24 12:31:01 PM,C,65.5
11/13/24 12:41:01 PM,C,64
11/13/24 12:51:01 PM,C,71
11/13/24 1:01:01 PM,C,60.5
11/13/24 1:11:01 PM,C,60.5
11/13/24 1:21:01 PM,C,58
11/13/24 1:31:01 PM,C,61.5
11/13/24 1:41:01 PM,C,61.5
11/13/24 1:51:01 PM,C,62.5
11/13/24 2:01:01 PM,C,62.5
11/13/24 2:11:01 PM,C,65
11/13/24 2:21:01 PM,C,61.5
11/13/24 2:31:01 PM,C,62
11/13/24 2:41:01 PM,C,64
11/13/24 2:51:01 PM,C,68.5
11/13/24 3:01:01 PM,C,63.5
11/13/24 3:11:01 PM,C,62
11/13/24 3:21:01 PM,C,63
11/13/24 3:31:01 PM,C,28.5
11/13/24 3:41:01 PM,C,22
11/13/24 3:51:01 PM,C,21
11/13/24 4:01:01 PM,C,20.5
11/13/24 4:11:01 PM,C,20.5
11/13/24 4:21:01 PM,C,20
11/13/24 4:31:01 PM,C,20
11/13/24 4:41:01 PM,C,20
11/13/24 4:51:01 PM,C,20
11/13/24 5:01:01 PM,C,20
11/13/24 5:11:01 PM,C,20
11/13/24 5:21:01 PM,C,20
11/13/24 5:31:01 PM,C,20
11/13/24 5:41:01 PM,C,20
11/13/24 5:51:01 PM,C,20
11/13/24 6:01:01 PM,C,20
11/13/24 6:11:01 PM,C,20
11/13/24 6:21:01 PM,C,20
11/13/24 6:31:01 PM,C,20
11/13/24 6:41:01 PM,C,20
11/13/24 6:51:01 PM,C,20
11/13/24 7:01:01 PM,C,20
11/13/24 7:11:01 PM,C,20
11/13/24 7:21:01 PM,C,20
11/13/24 7:31:01 PM,C,20
11/13/24 7:41:01 PM,C,20
11/13/24 7:51:01 PM,C,20
11/13/24 8:01:01 PM,C,20
11/13/24 8:11:01 PM,C,20
11/13/24 8:21:01 PM,C,20
11/13/24 8:31:01 PM,C,20
11/13/24 8:41:01 PM,C,20
11/13/24 8:51:01 PM,C,20
11/13/24 9:01:01 PM,C,20
11/13/24 9:11:01 PM,C,20
11/13/24 9:21:01 PM,C,20
11/13/24 9:31:01 PM,C,20
11/13/24 9:41:01 PM,C,20
11/13/24 9:51:01 PM,C,20
11/13/24 10:01:01 PM,C,19.5
11/13/24 10:11:01 PM,C,19.5
11/13/24 10:21:01 PM,C,19.5
11/13/24 10:31:01 PM,C,19.5
11/13/24 10:41:01 PM,C,19.5
11/13/24 10:51:01 PM,C,19.5
11/13/24 11:01:01 PM,C,19.5
11/13/24 11:11:01 PM,C,19.5
11/13/24 11:21:01 PM,C,19.5
11/13/24 11:31:01 PM,C,19.5
11/13/24 11:41:01 PM,C,19.5
11/13/24 11:51:01 PM,C,19.5
11/14/24 12:01:01 AM,C,19.5
11/14/24 12:11:01 AM,C,19.5
11/14/24 12:21:01 AM,C,19
11/14/24 12:31:01 AM,C,19
11/14/24 12:41:01 AM,C,19
11/14/24 12:51:01 AM,C,19
11/14/24 1:01:01 AM,C,19
11/14/24 1:11:01 AM,C,19
11/14/24 1:21:01 AM,C,19
11/14/24 1:31:01 AM,C,19
11/14/24 1:41:01 AM,C,19
11/14/24 1:51:01 AM,C,19
11/14/24 2:01:01 AM,C,19
11/14/24 2:11:01 AM,C,19
11/14/24 2:21:01 AM,C,19
11/14/24 2:31:01 AM,C,19
11/14/24 2:41:01 AM,C,19
11/14/24 2:51:01 AM,C,19
11/14/24 3:01:01 AM,C,19
11/14/24 3:11:01 AM,C,19
11/14/24 3:21:01 AM,C,19
11/14/24 3:31:01 AM,C,19
11/14/24 3:41:01 AM,C,19
11/14/24 3:51:01 AM,C,19
11/14/24 4:01:01 AM,C,19
11/14/24 4:11:01 AM,C,19
11/14/24 4:21:01 AM,C,19
11/14/24 4:31:01 AM,C,19
11/14/24 4:41:01 AM,C,19
11/14/24 4:51:01 AM,C,19
11/14/24 5:01:01 AM,C,19
11/14/24 5:11:01 AM,C,19
11/14/24 5:21:01 AM,C,19
11/14/24 5:31:01 AM,C,19
11/14/24 5:41:01 AM,C,19.5
11/14/24 5:51:01 AM,C,20
11/14/24 6:01:01 AM,C,20
11/14/24 6:11:01 AM,C,20
11/14/24 6:21:01 AM,C,20
11/14/24 6:31:01 AM,C,20
11/14/24 6:41:01 AM,C,20
11/14/24 6:51:01 AM,C,20
11/14/24 7:01:01 AM,C,20
11/14/24 7:11:01 AM,C,20
11/14/24 7:21:01 AM,C,20
11/14/24 7:31:01 AM,C,20
11/14/24 7:41:01 AM,C,20.5
11/14/24 7:51:01 AM,C,21
11/14/24 8:01:01 AM,C,21
11/14/24 8:11:01 AM,C,22.5
11/14/24 8:21:01 AM,C,23
11/14/24 8:31:01 AM,C,22.5
11/14/24 8:41:01 AM,C,22.5
11/14/24 8:51:01 AM,C,22
11/14/24 9:01:01 AM,C,22
11/14/24 9:11:01 AM,C,22
11/14/24 9:21:01 AM,C,21.5
11/14/24 9:31:01 AM,C,21
11/14/24 9:41:01 AM,C,20.5
11/14/24 9:51:01 AM,C,20
11/14/24 10:01:01 AM,C,20.5
11/14/24 10:11:01 AM,C,20.5
11/14/24 10:21:01 AM,C,20.5
11/14/24 10:31:01 AM,C,20.5
11/14/24 10:41:01 AM,C,20.5
11/14/24 10:51:01 AM,C,20.5
11/14/24 11:01:01 AM,C,20
11/14/24 11:11:01 AM,C,20
11/14/24 11:21:01 AM,C,20
11/14/24 11:31:01 AM,C,20
11/14/24 11:41:01 AM,C,20
11/14/24 11:51:01 AM,C,20
11/14/24 12:01:01 PM,C,20
11/14/24 12:11:01 PM,C,20
11/14/24 12:21:01 PM,C,20
11/14/24 12:31:01 PM,C,20
11/14/24 12:41:01 PM,C,20
11/14/24 12:51:01 PM,C,20.5
11/14/24 1:01:01 PM,C,20.5
11/14/24 1:11:01 PM,C,20.5
11/14/24 1:21:01 PM,C,20.5
11/14/24 1:31:01 PM,C,20.5
11/14/24 1:41:01 PM,C,20.5
11/14/24 1:51:01 PM,C,20.5
11/14/24 2:01:01 PM,C,20.5
11/14/24 2:11:01 PM,C,20
11/14/24 2:21:01 PM,C,20
11/14/24 2:31:01 PM,C,20
11/14/24 2:41:01 PM,C,20.5
11/14/24 2:51:01 PM,C,20
11/14/24 3:01:01 PM,C,20
11/14/24 3:11:01 PM,C,20
11/14/24 3:21:01 PM,C,20
11/14/24 3:31:01 PM,C,20
11/14/24 3:41:01 PM,C,20
11/14/24 3:51:01 PM,C,20
11/14/24 4:01:01 PM,C,20
11/14/24 4:11:01 PM,C,20
11/14/24 4:21:01 PM,C,20
11/14/24 4:31:01 PM,C,20
11/14/24 4:41:01 PM,C,20
11/14/24 4:51:01 PM,C,20
11/14/24 5:01:01 PM,C,20
11/14/24 5:11:01 PM,C,20
11/14/24 5:21:01 PM,C,20
11/14/24 5:31:01 PM,C,20
11/14/24 5:41:01 PM,C,20
11/14/24 5:51:01 PM,C,20
11/14/24 6:01:01 PM,C,20
11/14/24 6:11:01 PM,C,20
11/14/24 6:21:01 PM,C,20
11/14/24 6:31:01 PM,C,20
11/14/24 6:41:01 PM,C,20
11/14/24 6:51:01 PM,C,20.5
11/14/24 7:01:01 PM,C,20.5
11/14/24 7:11:01 PM,C,20.5
11/14/24 7:21:01 PM,C,20
11/14/24 7:31:01 PM,C,20
11/14/24 7:41:01 PM,C,20
11/14/24 7:51:01 PM,C,20
11/14/24 8:01:01 PM,C,20
11/14/24 8:11:01 PM,C,20
11/14/24 8:21:01 PM,C,20
11/14/24 8:31:01 PM,C,20
11/14/24 8:41:01 PM,C,20
11/14/24 8:51:01 PM,C,20
11/14/24 9:01:01 PM,C,20
11/14/24 9:11:01 PM,C,20
11/14/24 9:21:01 PM,C,20
11/14/24 9:31:01 PM,C,20
11/14/24 9:41:01 PM,C,20
11/14/24 9:51:01 PM,C,20
11/14/24 10:01:01 PM,C,20
11/14/24 10:11:01 PM,C,19.5
11/14/24 10:21:01 PM,C,19.5
11/14/24 10:31:01 PM,C,19.5
11/14/24 10:41:01 PM,C,19.5
11/14/24 10:51:01 PM,C,19.5
11/14/24 11:01:01 PM,C,19.5
11/14/24 11:11:01 PM,C,19.5
11/14/24 11:21:01 PM,C,19.5
11/14/24 11:31:01 PM,C,19.5
11/14/24 11:41:01 PM,C,19.5
11/14/24 11:51:01 PM,C,19.5
11/15/24 12:01:01 AM,C,19.5
11/15/24 12:11:01 AM,C,19.5
11/15/24 12:21:01 AM,C,19.5
11/15/24 12:31:01 AM,C,19.5
11/15/24 12:41:01 AM,C,19.5
11/15/24 12:51:01 AM,C,19.5
11/15/24 1:01:01 AM,C,19.5
11/15/24 1:11:01 AM,C,19.5
11/15/24 1:21:01 AM,C,19.5
11/15/24 1:31:01 AM,C,19.5
11/15/24 1:41:01 AM,C,19.5
11/15/24 1:51:01 AM,C,19.5
11/15/24 2:01:01 AM,C,19.5
11/15/24 2:11:01 AM,C,19.5
11/15/24 2:21:01 AM,C,19.5
11/15/24 2:31:01 AM,C,19.5
11/15/24 2:41:01 AM,C,19.5
11/15/24 2:51:01 AM,C,19.5
11/15/24 3:01:01 AM,C,19.5
11/15/24 3:11:01 AM,C,19.5
11/15/24 3:21:01 AM,C,19.5
11/15/24 3:31:01 AM,C,19
11/15/24 3:41:01 AM,C,19.5
11/15/24 3:51:01 AM,C,19.5
11/15/24 4:01:01 AM,C,19.5
11/15/24 4:11:01 AM,C,19.5
11/15/24 4:21:01 AM,C,19.5
11/15/24 4:31:01 AM,C,19.5
11/15/24 4:41:01 AM,C,19.5
11/15/24 4:51:01 AM,C,19.5
11/15/24 5:01:01 AM,C,19.5
11/15/24 5:11:01 AM,C,19.5
11/15/24 5:21:01 AM,C,19.5
11/15/24 5:31:01 AM,C,19.5
11/15/24 5:41:01 AM,C,19.5
11/15/24 5:51:01 AM,C,19.5
11/15/24 6:01:01 AM,C,19.5
11/15/24 6:11:01 AM,C,19.5
11/15/24 6:21:01 AM,C,19.5
11/15/24 6:31:01 AM,C,19.5
11/15/24 6:41:01 AM,C,19.5
11/15/24 6:51:01 AM,C,20
11/15/24 7:01:01 AM,C,20
11/15/24 7:11:01 AM,C,20.5
11/15/24 7:21:01 AM,C,20.5
11/15/24 7:31:01 AM,C,20
11/15/24 7:41:01 AM,C,20
11/15/24 7:51:01 AM,C,21
11/15/24 8:01:01 AM,C,21.5
11/15/24 8:11:01 AM,C,21.5
11/15/24 8:21:01 AM,C,21.5
11/15/24 8:31:01 AM,C,22
11/15/24 8:41:01 AM,C,22.5
11/15/24 8:51:01 AM,C,32
11/15/24 9:01:01 AM,C,34
11/15/24 9:11:01 AM,C,35.5
11/15/24 9:21:01 AM,C,35.5
11/15/24 9:31:01 AM,C,34.5
11/15/24 9:41:01 AM,C,34
11/15/24 9:51:01 AM,C,33
11/15/24 10:01:01 AM,C,33.5
11/15/24 10:11:01 AM,C,33
11/15/24 10:21:01 AM,C,32
11/15/24 10:31:01 AM,C,31
11/15/24 10:41:01 AM,C,32
11/15/24 10:51:01 AM,C,32.5
11/15/24 11:01:01 AM,C,34
11/15/24 11:11:01 AM,C,34
11/15/24 11:21:01 AM,C,33.5
11/15/24 11:31:01 AM,C,33.5
11/15/24 11:41:01 AM,C,33
11/15/24 11:51:01 AM,C,33
11/15/24 12:01:01 PM,C,33
11/15/24 12:11:01 PM,C,33.5
11/15/24 12:21:01 PM,C,33
11/15/24 12:31:01 PM,C,33
11/15/24 12:41:01 PM,C,32.5
11/15/24 12:51:01 PM,C,32.5
11/15/24 1:01:01 PM,C,32.5
11/15/24 1:11:01 PM,C,32
11/15/24 1:21:01 PM,C,32
11/15/24 1:31:01 PM,C,31.5
11/15/24 1:41:01 PM,C,32
11/15/24 1:51:01 PM,C,31.5
11/15/24 2:01:01 PM,C,31.5
11/15/24 2:11:01 PM,C,31.5
11/15/24 2:21:01 PM,C,31.5
11/15/24 2:31:01 PM,C,31
11/15/24 2:41:01 PM,C,31
11/15/24 2:51:01 PM,C,31
11/15/24 3:01:01 PM,C,31
11/15/24 3:11:01 PM,C,31
11/15/24 3:21:01 PM,C,30.5
11/15/24 3:31:01 PM,C,31
11/15/24 3:41:01 PM,C,32
11/15/24 3:51:01 PM,C,32
11/15/24 4:01:01 PM,C,33
11/15/24 4:11:01 PM,C,31.5
11/15/24 4:21:01 PM,C,31
11/15/24 4:31:01 PM,C,32
11/15/24 4:41:01 PM,C,33.5
11/15/24 4:51:01 PM,C,34.5
11/15/24 5:01:01 PM,C,34
11/15/24 5:11:01 PM,C,31.5
11/15/24 5:21:01 PM,C,32.5
11/15/24 5:31:01 PM,C,31.5
11/15/24 5:41:01 PM,C,32
11/15/24 5:51:01 PM,C,32.5
11/15/24 6:01:01 PM,C,32
11/15/24 6:11:01 PM,C,32.5
11/15/24 6:21:01 PM,C,32.5
11/15/24 6:31:01 PM,C,32
11/15/24 6:41:01 PM,C,32
11/15/24 6:51:01 PM,C,32
11/15/24 7:01:01 PM,C,31.5
11/15/24 7:11:01 PM,C,32
11/15/24 7:21:01 PM,C,32.5
11/15/24 7:31:01 PM,C,31
11/15/24 7:41:01 PM,C,31
11/15/24 7:51:01 PM,C,31
11/15/24 8:01:01 PM,C,31
11/15/24 8:11:01 PM,C,31
11/15/24 8:21:01 PM,C,31
11/15/24 8:31:01 PM,C,31
11/15/24 8:41:01 PM,C,31
11/15/24 8:51:01 PM,C,30.5
11/15/24 9:01:01 PM,C,31.5
11/15/24 9:11:01 PM,C,31.5
11/15/24 9:21:01 PM,C,31.5
11/15/24 9:31:01 PM,C,31.5
11/15/24 9:41:01 PM,C,31.5
11/15/24 9:51:01 PM,C,32
11/15/24 10:01:01 PM,C,31.5
11/15/24 10:11:01 PM,C,32
11/15/24 10:21:01 PM,C,33.5
11/15/24 10:31:01 PM,C,32
11/15/24 10:41:01 PM,C,32
11/15/24 10:51:01 PM,C,32
11/15/24 11:01:01 PM,C,32
11/15/24 11:11:01 PM,C,31.5
11/15/24 11:21:01 PM,C,32
11/15/24 11:31:01 PM,C,31.5
11/15/24 11:41:01 PM,C,32
11/15/24 11:51:01 PM,C,32
11/16/24 12:01:01 AM,C,32.5
11/16/24 12:11:01 AM,C,32
11/16/24 12:21:01 AM,C,32.5
11/16/24 12:31:01 AM,C,32.5
11/16/24 12:41:01 AM,C,32.5
11/16/24 12:51:01 AM,C,32
11/16/24 1:01:01 AM,C,32
11/16/24 1:11:01 AM,C,32.5
11/16/24 1:21:01 AM,C,32
11/16/24 1:31:01 AM,C,32
11/16/24 1:41:01 AM,C,31.5
11/16/24 1:51:01 AM,C,31.5
11/16/24 2:01:01 AM,C,32
11/16/24 2:11:01 AM,C,32.5
11/16/24 2:21:01 AM,C,32.5
11/16/24 2:31:01 AM,C,31
11/16/24 2:41:01 AM,C,31.5
11/16/24 2:51:01 AM,C,32
11/16/24 3:01:01 AM,C,32.5
11/16/24 3:11:01 AM,C,32
11/16/24 3:21:01 AM,C,31.5
11/16/24 3:31:01 AM,C,31.5
11/16/24 3:41:01 AM,C,31.5
11/16/24 3:51:01 AM,C,32
11/16/24 4:01:01 AM,C,32
11/16/24 4:11:01 AM,C,31.5
11/16/24 4:21:01 AM,C,32
11/16/24 4:31:01 AM,C,32
11/16/24 4:41:01 AM,C,32
11/16/24 4:51:01 AM,C,32.5
11/16/24 5:01:01 AM,C,32.5
11/16/24 5:11:01 AM,C,32.5
11/16/24 5:21:01 AM,C,32
11/16/24 5:31:01 AM,C,33
11/16/24 5:41:01 AM,C,32.5
11/16/24 5:51:01 AM,C,32
11/16/24 6:01:01 AM,C,32.5
11/16/24 6:11:01 AM,C,34
11/16/24 6:21:01 AM,C,32.5
11/16/24 6:31:01 AM,C,32
11/16/24 6:41:01 AM,C,31
11/16/24 6:51:01 AM,C,30
11/16/24 7:01:01 AM,C,30
11/16/24 7:11:01 AM,C,30
11/16/24 7:21:01 AM,C,29
11/16/24 7:31:01 AM,C,28.5
11/16/24 7:41:01 AM,C,28
11/16/24 7:51:01 AM,C,27.5
11/16/24 8:01:01 AM,C,28
11/16/24 8:11:01 AM,C,28
11/16/24 8:21:01 AM,C,28
11/16/24 8:31:01 AM,C,28
11/16/24 8:41:01 AM,C,28
11/16/24 8:51:01 AM,C,27.5
11/16/24 9:01:01 AM,C,28
11/16/24 9:11:01 AM,C,27
11/16/24 9:21:01 AM,C,27.5
11/16/24 9:31:01 AM,C,28.5
11/16/24 9:41:01 AM,C,27.5
11/16/24 9:51:01 AM,C,28
11/16/24 10:01:01 AM,C,28
11/16/24 10:11:01 AM,C,28
11/16/24 10:21:01 AM,C,27.5
11/16/24 10:31:01 AM,C,27.5
11/16/24 10:41:01 AM,C,27
11/16/24 10:51:01 AM,C,28.5
11/16/24 11:01:01 AM,C,29.5
11/16/24 11:11:01 AM,C,30
11/16/24 11:21:01 AM,C,30
11/16/24 11:31:01 AM,C,30
11/16/24 11:41:01 AM,C,30.5
11/16/24 11:51:01 AM,C,31
11/16/24 12:01:01 PM,C,31
11/16/24 12:11:01 PM,C,30.5
11/16/24 12:21:01 PM,C,31
11/16/24 12:31:01 PM,C,30.5
11/16/24 12:41:01 PM,C,30.5
11/16/24 12:51:01 PM,C,30.5
11/16/24 1:01:01 PM,C,30
11/16/24 1:11:01 PM,C,30
11/16/24 1:21:01 PM,C,30.5
11/16/24 1:31:01 PM,C,30
11/16/24 1:41:01 PM,C,30.5
11/16/24 1:51:01 PM,C,31.5
11/16/24 2:01:01 PM,C,31.5
11/16/24 2:11:01 PM,C,31.5
11/16/24 2:21:01 PM,C,31.5
11/16/24 2:31:01 PM,C,31
11/16/24 2:41:01 PM,C,33.5
11/16/24 2:51:01 PM,C,34.5
11/16/24 3:01:01 PM,C,34.5
11/16/24 3:11:01 PM,C,33.5
11/16/24 3:21:01 PM,C,34
11/16/24 3:31:01 PM,C,31
11/16/24 3:41:01 PM,C,31
11/16/24 3:51:01 PM,C,31
11/16/24 4:01:01 PM,C,33
11/16/24 4:11:01 PM,C,33
11/16/24 4:21:01 PM,C,34.5
11/16/24 4:31:01 PM,C,32.5
11/16/24 4:41:01 PM,C,32
11/16/24 4:51:01 PM,C,32.5
11/16/24 5:01:01 PM,C,31
11/16/24 5:11:01 PM,C,31
11/16/24 5:21:01 PM,C,31.5
11/16/24 5:31:01 PM,C,32
11/16/24 5:41:01 PM,C,33
11/16/24 5:51:01 PM,C,32
11/16/24 6:01:01 PM,C,33
11/16/24 6:11:01 PM,C,33.5
11/16/24 6:21:01 PM,C,32.5
11/16/24 6:31:01 PM,C,33
11/16/24 6:41:01 PM,C,32
11/16/24 6:51:01 PM,C,33
11/16/24 7:01:01 PM,C,33
11/16/24 7:11:01 PM,C,31.5
11/16/24 7:21:01 PM,C,34
11/16/24 7:31:01 PM,C,33.5
11/16/24 7:41:01 PM,C,33
11/16/24 7:51:01 PM,C,33
11/16/24 8:01:01 PM,C,33
11/16/24 8:11:01 PM,C,33
11/16/24 8:21:01 PM,C,33
11/16/24 8:31:01 PM,C,33
11/16/24 8:41:01 PM,C,33.5
11/16/24 8:51:01 PM,C,33
11/16/24 9:01:01 PM,C,33
11/16/24 9:11:01 PM,C,33
11/16/24 9:21:01 PM,C,33
11/16/24 9:31:01 PM,C,33.5
11/16/24 9:41:01 PM,C,33
11/16/24 9:51:01 PM,C,33
11/16/24 10:01:01 PM,C,32.5
11/16/24 10:11:01 PM,C,32.5
11/16/24 10:21:01 PM,C,33
11/16/24 10:31:01 PM,C,33
11/16/24 10:41:01 PM,C,33
11/16/24 10:51:01 PM,C,33
11/16/24 11:01:01 PM,C,33
11/16/24 11:11:01 PM,C,33
11/16/24 11:21:01 PM,C,33
11/16/24 11:31:01 PM,C,32.5
11/16/24 11:41:01 PM,C,32.5
11/16/24 11:51:01 PM,C,33
11/17/24 12:01:01 AM,C,32
11/17/24 12:11:01 AM,C,32
11/17/24 12:21:01 AM,C,31.5
11/17/24 12:31:01 AM,C,32
11/17/24 12:41:01 AM,C,32
11/17/24 12:51:01 AM,C,31.5
11/17/24 1:01:01 AM,C,31
11/17/24 1:11:01 AM,C,30.5
11/17/24 1:21:01 AM,C,31
11/17/24 1:31:01 AM,C,31
11/17/24 1:41:01 AM,C,31
11/17/24 1:51:01 AM,C,31
11/17/24 2:01:01 AM,C,30.5
11/17/24 2:11:01 AM,C,30.5
11/17/24 2:21:01 AM,C,31.5
11/17/24 2:31:01 AM,C,31
11/17/24 2:41:01 AM,C,31
11/17/24 2:51:01 AM,C,30.5
11/17/24 3:01:01 AM,C,30.5
11/17/24 3:11:01 AM,C,31
11/17/24 3:21:01 AM,C,31
11/17/24 3:31:01 AM,C,32
11/17/24 3:41:01 AM,C,32.5
11/17/24 3:51:01 AM,C,32
11/17/24 4:01:01 AM,C,32
11/17/24 4:11:01 AM,C,32
11/17/24 4:21:01 AM,C,32
11/17/24 4:31:01 AM,C,32.5
11/17/24 4:41:01 AM,C,32
11/17/24 4:51:01 AM,C,32
11/17/24 5:01:01 AM,C,32.5
11/17/24 5:11:01 AM,C,33
11/17/24 5:21:01 AM,C,33
11/17/24 5:31:01 AM,C,32.5
11/17/24 5:41:01 AM,C,32.5
11/17/24 5:51:01 AM,C,32.5
11/17/24 6:01:01 AM,C,33.5
11/17/24 6:11:01 AM,C,34.5
11/17/24 6:21:01 AM,C,33.5
11/17/24 6:31:01 AM,C,33.5
11/17/24 6:41:01 AM,C,32.5
11/17/24 6:51:01 AM,C,32.5
11/17/24 7:01:01 AM,C,32
11/17/24 7:11:01 AM,C,32
11/17/24 7:21:01 AM,C,31
11/17/24 7:31:01 AM,C,30.5
11/17/24 7:41:01 AM,C,30
11/17/24 7:51:01 AM,C,30
11/17/24 8:01:01 AM,C,30
11/17/24 8:11:01 AM,C,29.5
11/17/24 8:21:01 AM,C,29.5
11/17/24 8:31:01 AM,C,29
11/17/24 8:41:01 AM,C,28.5
11/17/24 8:51:01 AM,C,29
11/17/24 9:01:01 AM,C,29
11/17/24 9:11:01 AM,C,28.5
11/17/24 9:21:01 AM,C,28.5
11/17/24 9:31:01 AM,C,28
11/17/24 9:41:01 AM,C,27.5
11/17/24 9:51:01 AM,C,27
11/17/24 10:01:01 AM,C,27
11/17/24 10:11:01 AM,C,27
11/17/24 10:21:01 AM,C,27.5
11/17/24 10:31:01 AM,C,27
11/17/24 10:41:01 AM,C,26.5
11/17/24 10:51:01 AM,C,27
11/17/24 11:01:01 AM,C,28.5
11/17/24 11:11:01 AM,C,29.5
11/17/24 11:21:01 AM,C,30.5
11/17/24 11:31:01 AM,C,32
11/17/24 11:41:01 AM,C,32
11/17/24 11:51:01 AM,C,32
11/17/24 12:01:01 PM,C,31
11/17/24 12:11:01 PM,C,31.5
11/17/24 12:21:01 PM,C,31.5
11/17/24 12:31:01 PM,C,32
11/17/24 12:41:01 PM,C,32
11/17/24 12:51:01 PM,C,32.5
11/17/24 1:01:01 PM,C,33.5
11/17/24 1:11:01 PM,C,33
11/17/24 1:21:01 PM,C,32.5
11/17/24 1:31:01 PM,C,31
11/17/24 1:41:01 PM,C,31.5
11/17/24 1:51:01 PM,C,33.5
11/17/24 2:01:01 PM,C,34.5
11/17/24 2:11:01 PM,C,35
11/17/24 2:21:01 PM,C,35.5
11/17/24 2:31:01 PM,C,32.5
11/17/24 2:41:01 PM,C,32
11/17/24 2:51:01 PM,C,31
11/17/24 3:01:01 PM,C,32.5
11/17/24 3:11:01 PM,C,31.5
11/17/24 3:21:01 PM,C,31
11/17/24 3:31:01 PM,C,32.5
11/17/24 3:41:01 PM,C,34.5
11/17/24 3:51:01 PM,C,32.5
11/17/24 4:01:01 PM,C,34.5
11/17/24 4:11:01 PM,C,35
11/17/24 4:21:01 PM,C,32
11/17/24 4:31:01 PM,C,31
11/17/24 4:41:01 PM,C,31
11/17/24 4:51:01 PM,C,32
11/17/24 5:01:01 PM,C,32
11/17/24 5:11:01 PM,C,33
11/17/24 5:21:01 PM,C,33
11/17/24 5:31:01 PM,C,33
11/17/24 5:41:01 PM,C,33
11/17/24 5:51:01 PM,C,33
11/17/24 6:01:01 PM,C,33
11/17/24 6:11:01 PM,C,33
11/17/24 6:21:01 PM,C,33
11/17/24 6:31:01 PM,C,33
11/17/24 6:41:01 PM,C,33
11/17/24 6:51:01 PM,C,33
11/17/24 7:01:01 PM,C,32.5
11/17/24 7:11:01 PM,C,32.5
11/17/24 7:21:01 PM,C,32.5
11/17/24 7:31:01 PM,C,32.5
11/17/24 7:41:01 PM,C,32.5
11/17/24 7:51:01 PM,C,32
11/17/24 8:01:01 PM,C,32
11/17/24 8:11:01 PM,C,32
11/17/24 8:21:01 PM,C,32
11/17/24 8:31:01 PM,C,32
11/17/24 8:41:01 PM,C,32
11/17/24 8:51:01 PM,C,32
11/17/24 9:01:01 PM,C,32
11/17/24 9:11:01 PM,C,32
11/17/24 9:21:01 PM,C,32
11/17/24 9:31:01 PM,C,32
11/17/24 9:41:01 PM,C,32
11/17/24 9:51:01 PM,C,31
11/17/24 10:01:01 PM,C,31.5
11/17/24 10:11:01 PM,C,31.5
11/17/24 10:21:01 PM,C,31.5
11/17/24 10:31:01 PM,C,31.5
11/17/24 10:41:01 PM,C,31.5
11/17/24 10:51:01 PM,C,31.5
11/17/24 11:01:01 PM,C,31
11/17/24 11:11:01 PM,C,31
11/17/24 11:21:01 PM,C,31
11/17/24 11:31:01 PM,C,31.5
